weedle kakuna
kakuna beedrill
slowpoke slowbro
slowpoke slowking
diglett dugtrio
nidoran-f nidorina
nidorina nidoqueen
spearow fearow
dratini dragonair
dragonair dragonite
koffing weezing
diglett-alola dugtrio-alola
lickitung lickilicky
charmander charmeleon
charmeleon charizard
mankey primeape
primeape annihilape
shellder cloyster
growlithe arcanine
growlithe-hisui arcanine-hisui
grimer-alola muk-alola
gastly haunter
haunter gengar
sandshrew sandslash
cleffa clefairy
clefairy clefable
oddish gloom
gloom vileplume
gloom bellossom
abra kadabra
kadabra alakazam
squirtle wartortle
wartortle blastoise
voltorb-hisui electrode-hisui
staryu starmie
eevee vaporeon
eevee jolteon
eevee flareon
eevee espeon
eevee umbreon
eevee leafeon
eevee glaceon
eevee sylveon
pidgey pidgeotto
pidgeotto pidgeot
omanyte omastar
slowpoke-galar slowbro-galar
goldeen seaking
bellsprout weepinbell
weepinbell victreebel
kabuto kabutops
bulbasaur ivysaur
ivysaur venusaur
nidoran-m nidorino
nidorino nidoking
onix steelix
paras parasect
zubat golbat
golbat crobat
cubone marowak
cubone marowak-alola
tentacool tentacruel
horsea seadra
seadra kingdra
pichu pikachu
pikachu raichu
machop machoke
machoke machamp
krabby kingler
poliwag poliwhirl
poliwhirl poliwrath
poliwhirl politoed
psyduck golduck
smoochum jynx
geodude graveler
graveler golem
mime-jr mr-mime
ekans arbok
porygon porygon2
porygon2 porygon-z
happiny chansey
chansey blissey
drowzee hypno
vulpix ninetales
geodude-alola graveler-alola
graveler-alola golem-alola
rattata-alola raticate-alola
vulpix-alola ninetales-alola
doduo dodrio
igglybuff jigglypuff
jigglypuff wigglytuff
meowth persian
meowth-alola persian-alola
ponyta rapidash
caterpie metapod
metapod butterfree
exeggcute exeggutor
exeggcute exeggutor-alola
magikarp gyarados
magnemite magneton
magneton magnezone
magby magmar
magmar magmortar
seel dewgong
tyrogue hitmonlee
tyrogue hitmonchan
tyrogue hitmontop
farfetchd-galar sirfetchd-galar
koffing weezing-galar
ponyta-galar rapidash-galar
venonat venomoth
grimer muk
gloom bellossom
rhyhorn rhydon
rhydon rhyperior
elekid electabuzz
electabuzz electivire
scyther scizor
scyther kleavor
tangela tangrowth
munchlax snorlax
pikachu raichu-alola
rattata raticate
sandshrew-alola sandslash-alola
voltorb electrode
